From Node,To Node,Road Name,Baseline Flow,Capacity,V/C Ratio
villa - 1,villa - 6,Osmena St,0.0,2200,0.0
villa - 1,villa - 4,Yulo Dr,0.0,2200,0.0
villa - 1,villa - 2,Jocson St,0.0,2200,0.0
villa - 2,villa - 1,Jocson St (Rev),0.0,2200,0.0
villa - 2,villa - 3,Circumferential Rd 1,629.7,2200,0.286
villa - 2,mandurriao - 8,Iloilo Circumferential Rd 1,634.2,2200,0.288
villa - 3,villa - 4,Quezon St,0.0,2200,0.0
villa - 3,villa - 2,Circumferential Rd 1 (Rev),629.7,2200,0.286
villa - 3,Molo - 3,Molo - Arevalo Connect (Rev),2162.3,2200,0.983
villa - 4,villa - 1,Yulo Dr (Rev),0.0,2200,0.0
villa - 4,villa - 3,Quezon St (Rev),0.0,2200,0.0
villa - 5,Molo - 6,Molo Blvd (Rev),0.0,2200,0.0
villa - 6,villa - 1,Osmena St (Rev),0.0,2200,0.0
villa - 6,villa - 7,Pakiad Rd (Rev),0.0,1100,0.0
villa - 7,villa - 6,Pakiad Rd,0.0,1100,0.0
Molo - 3,villa - 3,Molo - Arevalo Connect,2162.3,2200,0.983
Molo - 3,Molo - 4,Locsin St,0.0,2200,0.0
Molo - 3,mandurriao - 6,New Carpenter Bridge,545.9,1100,0.496
Molo - 4,Molo - 3,Locsin St (Rev),0.0,2200,0.0
Molo - 4,Molo - 5,Locsin St,0.0,2200,0.0
Molo - 4,Molo - 9,M.H Del Pilar,0.0,2200,0.0
Molo - 5,Molo - 4,Locsin St (Rev),0.0,2200,0.0
Molo - 5,Molo - 6,Locsin St,0.0,2200,0.0
Molo - 5,Proper - 2,Timawa St,0.0,2200,0.0
Molo - 6,Molo - 5,Locsin St (Rev),0.0,2200,0.0
Molo - 6,villa - 5,Molo Blvd,0.0,2200,0.0
Molo - 6,Proper - 4,Molo Blvd 2,0.0,2200,0.0
Molo - 7,Molo - 8,Rotunda,0.0,2200,0.0
Molo - 8,Molo - 3,San Marcos St,0.0,4400,0.0
Molo - 8,Molo - 9,M.H Del Pilar,0.0,1100,0.0
Molo - 9,Molo - 4,M.H Del Pilar (Rev),0.0,2200,0.0
Molo - 9,Molo - 10,M.H Del Pilar,0.0,4400,0.0
Molo - 10,Proper - 1,Molo - Proper Connect,0.0,2200,0.0
Molo - 10,Molo - 7,M.H Del Pilar,0.0,1100,0.0
Proper - 1,Molo - 7,Gen Luna - Molo Connect,0.0,4400,0.0
Proper - 1,Proper - 2,Infante St 1,1205.1,2200,0.548
Proper - 1,Proper - 7,Gen Luna St 1,0.0,2200,0.0
Proper - 1,mandurriao - 1,Old Iloilo - Capiz Rd (Rev),1818.4,2200,0.827
Proper - 2,Molo - 5,Timawa St (Rev),0.0,2200,0.0
Proper - 2,Proper - 1,Infante St 1 (Rev),1205.1,2200,0.548
Proper - 2,Proper - 3,Infante St 2,1205.1,2200,0.548
Proper - 2,Proper - 10,Delgado St,0.0,2200,0.0
Proper - 3,Proper - 2,Infante St 2 (Rev),1205.1,2200,0.548
Proper - 3,Proper - 4,Infante St 3,1205.1,2200,0.548
Proper - 4,Molo - 6,Molo Blvd 2 (Rev),0.0,2200,0.0
Proper - 4,Proper - 5,Baluarte - Oton Blvd,3078.3,2200,1.399
Proper - 5,Proper - 3,Rizal St 1,3078.3,2200,1.399
Proper - 5,Proper - 6,Rizal St 2,0.0,2200,0.0
Proper - 6,Proper - 5,Rizal St 2 (Rev),0.0,2200,0.0
Proper - 6,Proper - 14,Rizal St 3,0.0,2200,0.0
Proper - 6,Proper - 11,Ledesma St,0.0,2200,0.0
Proper - 7,Proper - 1,Gen Luna St 1 (Rev),0.0,2200,0.0
Proper - 7,Proper - 8,Gen Luna St 2,0.0,2200,0.0
Proper - 7,lapaz - 10,Bonifacio Drive,0.0,2200,0.0
Proper - 8,Proper - 7,Gen Luna St 2 (Rev),0.0,2200,0.0
Proper - 8,Proper - 9,Gen Luna St 3,0.0,13200,0.0
Proper - 8,Proper - 10,Ruperto Montinola St 1,0.0,2200,0.0
Proper - 9,Proper - 8,Gen Luna St 3 (Rev),0.0,13200,0.0
Proper - 9,Proper - 12,Muelle Loney St 1,1045.23,2200,0.475
Proper - 9,lapuz - 2,Quirino - Lopez Bridge,3555.1,2200,1.616
Proper - 10,Proper - 8,Ruperto Montinola St 1 (Rev),0.0,2200,0.0
Proper - 10,Proper - 11,Ruperto Montinola St 2,0.0,2200,0.0
Proper - 10,Proper - 2,Delgado St (Rev),0.0,2200,0.0
Proper - 11,Proper - 6,Ledesma St (Rev),0.0,2200,0.0
Proper - 11,Proper - 10,Ruperto Montinola St 2 (Rev),0.0,2200,0.0
Proper - 11,Proper - 12,Arroyo St (Rev),0.0,1100,0.0
Proper - 11,Proper - 13,JM Basa St 1,0.0,2200,0.0
Proper - 12,Proper - 11,Arroyo St,0.0,1100,0.0
Proper - 12,Proper - 9,Muelle Loney St 1 (Rev),1045.23,2200,0.475
Proper - 12,Proper - 18,Muelle Loney St 2,1045.23,2200,0.475
Proper - 13,Proper - 11,JM Basa St 1 (Rev),0.0,2200,0.0
Proper - 13,Proper - 14,JM Basa St 2,0.0,2200,0.0
Proper - 13,Proper - 17,Dela Rama St 1,781.11,1100,0.71
Proper - 14,Proper - 6,Rizal St 3 (Rev),0.0,2200,0.0
Proper - 14,Proper - 13,JM Basa St 2 (Rev),0.0,2200,0.0
Proper - 14,Proper - 15,General Hughes St 1,3468.86,2200,1.577
Proper - 15,Proper - 14,General Hughes St 1 (Rev),3468.86,2200,1.577
Proper - 15,Proper - 16,Duran St,0.0,1100,0.0
Proper - 15,Proper - 22,General Hughes St 2,0.0,2200,0.0
Proper - 16,Proper - 15,Duran St (Rev),0.0,1100,0.0
Proper - 17,Proper - 13,Dela Rama St 1 (Rev),781.11,1100,0.71
Proper - 17,Proper - 20,Dela Rama St 2,0.0,1100,0.0
Proper - 17,Proper - 18,Blumentritt 1,0.0,1100,0.0
Proper - 17,Proper - 19,Blumentritt 2,0.0,1100,0.0
Proper - 18,Proper - 17,Blumentritt 1 (Rev),0.0,1100,0.0
Proper - 18,Proper - 12,Muelle Loney St 2 (Rev),1045.23,2200,0.475
Proper - 18,Proper - 19,Muelle Loney St 3,0.0,2200,0.0
